p,p2,pl,plj
http://www.wikidata.org/prop/direct/P1477,http://www.wikidata.org/entity/P1477,birth name,出生名
http://www.wikidata.org/prop/direct/P1469,http://www.wikidata.org/entity/P1469,FIFA player ID,FIFA選手コード
http://www.wikidata.org/prop/direct/P1559,http://www.wikidata.org/entity/P1559,name in native language,母語表記
http://www.wikidata.org/prop/direct/P1670,http://www.wikidata.org/entity/P1670,LAC ID,LAC識別子
http://www.wikidata.org/prop/direct/P1581,http://www.wikidata.org/entity/P1581,official blog,公式ブログ
http://www.wikidata.org/prop/direct/P1695,http://www.wikidata.org/entity/P1695,NLP ID,NLP識別子
http://www.wikidata.org/prop/direct/P1801,http://www.wikidata.org/entity/P1801,commemorative plaque image,銘板画像
http://www.wikidata.org/prop/direct/P1814,http://www.wikidata.org/entity/P1814,name in kana,読み仮名
http://www.wikidata.org/prop/direct/P1853,http://www.wikidata.org/entity/P1853,blood type,血液型
http://www.wikidata.org/prop/direct/P1889,http://www.wikidata.org/entity/P1889,different from,以下と異なる
http://www.wikidata.org/prop/direct/P1942,http://www.wikidata.org/entity/P1942,McCune-Reischauer romanization,マッキューン＝ライシャワー式によるラテン語転写
http://www.wikidata.org/prop/direct/P1953,http://www.wikidata.org/entity/P1953,Discogs artist ID,Discogs artist ID
http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/entity/P1971,number of children,実子の数
http://www.wikidata.org/prop/direct/P2001,http://www.wikidata.org/entity/P2001,Revised Romanization,文化観光部2000年式によるラテン語転写
http://www.wikidata.org/prop/direct/P2002,http://www.wikidata.org/entity/P2002,Twitter username,Twitterのユーザー名
http://www.wikidata.org/prop/direct/P2003,http://www.wikidata.org/entity/P2003,Instagram username,インスタグラムのユーザー名
http://www.wikidata.org/prop/direct/P2013,http://www.wikidata.org/entity/P2013,Facebook profile ID,フェイスブックID
http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/entity/P2031,work period (start),活動期間（開始）
http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/entity/P2032,work period (end),活動期間（終了）
http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/entity/P2048,height,高さ
http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/entity/P2067,mass,質量
http://www.wikidata.org/prop/direct/P2125,http://www.wikidata.org/entity/P2125,Revised Hepburn romanization,修正ヘボン式ローマ字表記
http://www.wikidata.org/prop/direct/P2163,http://www.wikidata.org/entity/P2163,FAST ID,FAST ID
http://www.wikidata.org/prop/direct/P1266,http://www.wikidata.org/entity/P1266,AlloCiné person ID,
http://www.wikidata.org/prop/direct/P1826,http://www.wikidata.org/entity/P1826,Baseball-Reference.com minor league player ID,
http://www.wikidata.org/prop/direct/P1899,http://www.wikidata.org/entity/P1899,LibriVox author ID,
http://www.wikidata.org/prop/direct/P2728,http://www.wikidata.org/entity/P2728,CageMatch worker ID,
http://www.wikidata.org/prop/direct/P2857,http://www.wikidata.org/entity/P2857,WWE.com superstar ID,
http://www.wikidata.org/prop/direct/P3222,http://www.wikidata.org/entity/P3222,NE.se ID,
http://www.wikidata.org/prop/direct/P3221,http://www.wikidata.org/entity/P3221,NYT topic ID,
http://www.wikidata.org/prop/direct/P3360,http://www.wikidata.org/entity/P3360,Nobel Prize People Nomination ID,
http://www.wikidata.org/prop/direct/P549,http://www.wikidata.org/entity/P549,Mathematics Genealogy Project ID,
http://www.wikidata.org/prop/direct/P1225,http://www.wikidata.org/entity/P1225,National Archives Identifier,
http://www.wikidata.org/prop/direct/P1284,http://www.wikidata.org/entity/P1284,Munzinger IBA,
http://www.wikidata.org/prop/direct/P1315,http://www.wikidata.org/entity/P1315,People Australia ID,
http://www.wikidata.org/prop/direct/P1417,http://www.wikidata.org/entity/P1417,Encyclopædia Britannica Online ID,
http://www.wikidata.org/prop/direct/P2019,http://www.wikidata.org/entity/P2019,AllMovie artist ID,
http://www.wikidata.org/prop/direct/P2094,http://www.wikidata.org/entity/P2094,competition class,
http://www.wikidata.org/prop/direct/P2605,http://www.wikidata.org/entity/P2605,ČSFD person ID,
http://www.wikidata.org/prop/direct/P2604,http://www.wikidata.org/entity/P2604,Kinopoisk person ID,
http://www.wikidata.org/prop/direct/P3430,http://www.wikidata.org/entity/P3430,SNAC ID,
http://www.wikidata.org/prop/direct/P3695,http://www.wikidata.org/entity/P3695,SpeedSkatingStats speed skater ID,
http://www.wikidata.org/prop/direct/P3782,http://www.wikidata.org/entity/P3782,Artnet artist ID,
http://www.wikidata.org/prop/direct/P1289,http://www.wikidata.org/entity/P1289,KLfG Critical Dictionary of foreign contemporary literature,
http://www.wikidata.org/prop/direct/P1741,http://www.wikidata.org/entity/P1741,GTAA ID,
http://www.wikidata.org/prop/direct/P1950,http://www.wikidata.org/entity/P1950,second surname in Spanish name,
http://www.wikidata.org/prop/direct/P2168,http://www.wikidata.org/entity/P2168,SFDb person ID,
http://www.wikidata.org/prop/direct/P2387,http://www.wikidata.org/entity/P2387,Elonet person ID,
http://www.wikidata.org/prop/direct/P2924,http://www.wikidata.org/entity/P2924,Great Russian Encyclopedia Online ID,
http://www.wikidata.org/prop/direct/P3171,http://www.wikidata.org/entity/P3171,International Olympic Committee athlete ID,
http://www.wikidata.org/prop/direct/P3694,http://www.wikidata.org/entity/P3694,SpeedSkatingNews.info speed skater ID,
http://www.wikidata.org/prop/direct/P1969,http://www.wikidata.org/entity/P1969,MovieMeter director ID,
http://www.wikidata.org/prop/direct/P2180,http://www.wikidata.org/entity/P2180,Kansallisbiografia ID,
http://www.wikidata.org/prop/direct/P2190,http://www.wikidata.org/entity/P2190,C-SPAN person ID,
http://www.wikidata.org/prop/direct/P2767,http://www.wikidata.org/entity/P2767,JudoInside.com ID,
http://www.wikidata.org/prop/direct/P2830,http://www.wikidata.org/entity/P2830,Online World of Wrestling ID,
http://www.wikidata.org/prop/direct/P2949,http://www.wikidata.org/entity/P2949,WikiTree ID,
http://www.wikidata.org/prop/direct/P3544,http://www.wikidata.org/entity/P3544,Te Papa artist ID,
http://www.wikidata.org/prop/direct/P3565,http://www.wikidata.org/entity/P3565,J.League player ID,
http://www.wikidata.org/prop/direct/P2091,http://www.wikidata.org/entity/P2091,FISA rower ID,
http://www.wikidata.org/prop/direct/P2350,http://www.wikidata.org/entity/P2350,Speedskatingbase.eu ID,
http://www.wikidata.org/prop/direct/P2435,http://www.wikidata.org/entity/P2435,PORT person ID,
http://www.wikidata.org/prop/direct/P2574,http://www.wikidata.org/entity/P2574,National-Football-Teams.com player ID,
http://www.wikidata.org/prop/direct/P2626,http://www.wikidata.org/entity/P2626,DNF person ID,
http://www.wikidata.org/prop/direct/P2764,http://www.wikidata.org/entity/P2764,Wrestlingdata person ID,
http://www.wikidata.org/prop/direct/P2776,http://www.wikidata.org/entity/P2776,FIS Nordic combined skier ID,
http://www.wikidata.org/prop/direct/P2829,http://www.wikidata.org/entity/P2829,Internet Wrestling Database ID,
http://www.wikidata.org/prop/direct/P3188,http://www.wikidata.org/entity/P3188,Nobel prize ID,
http://www.wikidata.org/prop/direct/P3630,http://www.wikidata.org/entity/P3630,Babelio author ID,
http://www.wikidata.org/prop/direct/P4048,http://www.wikidata.org/entity/P4048,J.League manager ID,
http://www.wikidata.org/prop/direct/P3520,http://www.wikidata.org/entity/P3520,databaseOlympics.com athlete ID,
http://www.wikidata.org/prop/direct/P4186,http://www.wikidata.org/entity/P4186,Australian Women's Register ID,
http://www.wikidata.org/prop/direct/P4191,http://www.wikidata.org/entity/P4191,Alljudo athlete ID,
